N° CAMPAIGN,Prediction (µm),Ground Truth (µm)
1,326.53,346.98
2,359.74,335.32
4,288.02,273.55
6,201.25,237.45
10,109.62,245.42
12,293.29,347.48
14,328.94,344.71
15,231.79,235.52
16,217.39,214.04
17,210.18,249.00
18,377.88,291.97
19,277.13,289.55
24,297.10,250.68
27,471.82,469.61
30,240.01,244.87
34,139.99,128.73
35,473.17,394.06
36,133.05,127.06
37,315.98,322.48
40,152.72,149.61
42,204.70,198.35
43,189.52,174.74
46,213.75,169.90
47,210.93,188.35
48,328.03,328.81
50,317.03,363.58
51,344.01,346.81
53,146.88,109.13
54,208.46,205.19
58,228.82,196.82
59,293.11,280.32
60,317.83,284.94
61,209.93,209.19
62,262.40,172.93
63,194.87,194.66
64,586.83,607.58
65,275.88,312.52
70,94.48,125.16
73,234.27,352.74
77,114.12,104.33
78,194.89,130.29
80,365.65,346.29
81,240.67,278.97
87,323.74,238.97
88,495.37,535.29
89,347.48,326.45
90,162.68,135.24
91,278.42,319.27
95,253.81,251.35
102,334.42,291.26
104,362.70,326.68
106,96.81,111.55
108,78.87,62.71
109,97.02,70.48
110,235.57,164.35
111,205.83,202.68
112,187.77,163.42
115,415.88,501.87
116,377.63,364.77
119,193.03,187.68
121,201.65,182.90
123,170.72,252.68
124,162.46,194.23
125,269.76,239.74
126,158.46,125.71
128,270.00,280.16
129,212.55,202.32
132,217.88,240.58
133,74.07,51.68
134,164.24,169.71
138,141.41,136.03
139,289.89,349.61
142,237.71,229.23
145,339.44,383.68
149,667.98,635.58
150,195.97,233.87
151,546.10,570.87
152,371.64,356.45
155,110.16,158.35
157,203.44,224.10
158,169.40,213.84
159,308.78,288.45
160,258.79,296.52
161,118.08,168.19
163,405.38,391.10
164,127.71,131.48
165,320.37,325.90
166,214.97,225.58
168,406.90,421.45
171,304.89,379.23
172,204.93,161.90
173,161.00,151.97
174,361.98,304.13
175,337.58,350.26
176,344.11,316.16
177,517.29,494.71
180,329.76,402.87
181,223.34,225.03
182,205.31,185.61
185,104.07,112.16
187,321.89,317.61
190,188.52,219.52
191,260.72,251.68
192,92.62,110.90
193,274.60,311.10
194,151.79,190.97
195,319.45,350.68
196,246.76,261.97
197,310.32,354.35
198,566.10,543.35
199,435.51,460.42
201,224.45,261.45
202,203.36,235.58
203,368.74,328.90
204,271.65,291.90
206,311.34,306.65
207,281.52,298.97
210,265.62,259.61
215,191.15,229.97
216,218.59,219.39
218,140.09,168.03
219,170.30,231.32
222,246.28,209.16
223,507.77,490.84
224,82.46,92.13
225,425.91,263.94
227,249.04,258.06
228,86.59,78.26
230,343.94,346.90
232,172.71,153.52
234,31.18,29.48
237,107.55,144.48
238,373.87,365.94
241,308.32,298.19
242,279.44,275.61
243,322.25,282.42
244,176.75,229.26
246,235.32,196.77
250,216.01,201.71
251,257.11,283.00
252,528.39,504.26
253,100.21,136.68
254,249.43,256.06
255,89.60,89.84
258,203.34,207.77
259,356.27,351.32
260,339.65,366.97
261,603.63,578.16
262,180.85,185.90
265,131.44,148.65
266,294.88,298.03
267,279.54,303.45
270,38.58,41.60
273,134.60,127.68
274,67.61,83.55
275,269.77,274.97
279,310.78,321.61
280,268.51,269.84
281,236.82,258.74
285,308.09,307.97
286,47.24,49.19
287,275.01,327.03
288,253.43,254.23
289,507.24,488.45
290,210.97,298.94
291,193.86,228.52
295,235.00,221.71
296,222.29,394.61
297,330.67,321.87
299,244.70,262.26
300,384.21,466.26
301,130.29,151.81
303,183.96,218.74
304,522.05,545.81
305,261.22,265.00
307,212.25,227.03
308,162.59,224.35
309,110.33,122.26
310,97.47,126.19
311,443.82,460.42
312,214.49,210.90
313,314.60,201.23
314,228.45,231.06
317,261.26,259.68
319,273.87,253.74
320,266.57,275.32
321,156.24,142.29
323,285.42,294.77
324,132.84,108.61
325,157.67,114.88
327,407.49,408.81
328,144.91,91.68
330,98.68,88.32
333,269.22,285.97
334,284.36,253.77
335,105.41,192.97
336,370.77,361.97
337,126.65,104.13
339,271.56,278.65
340,206.15,188.84
342,134.33,141.35
343,183.18,142.61
344,150.07,148.26
345,427.93,425.26
346,173.20,146.71
347,282.51,343.42
349,91.30,73.71
350,188.07,221.00
352,102.11,119.84
355,140.76,131.10
357,233.02,237.55
360,130.06,134.03
361,222.79,211.23
362,363.96,347.13
363,36.04,49.74
364,546.11,555.19
367,217.34,133.26
368,219.72,214.45
370,113.76,118.52
371,167.36,210.06
373,236.41,295.16
375,358.01,356.81
376,343.11,454.81
378,196.84,220.61
379,122.88,123.35
381,225.86,239.52
382,140.75,123.26
386,174.82,148.06
388,132.17,130.90
389,313.01,391.45
390,104.48,91.71
393,90.50,86.13
394,82.75,67.06
395,19.97,48.23
